id,state_id,country_region_id,country_id,local_id,name,slug,population
"BR-MG-31047","BR-MG","BR-SE","BR","31047","São João Nepomuceno / bicas","sao-joao-nepomuceno-bicas","73081"
"BR-MG-31048","BR-MG","BR-SE","BR","31048","Ubá","uba","316719"
"BR-MG-31049","BR-MG","BR-SE","BR","31049","Brasília de Minas/São Francisco","brasilia-de-minassao-francisco","233905"
"BR-MG-31050","BR-MG","BR-SE","BR","31050","Coração de Jesus","coracao-de-jesus","47569"
"BR-MG-31051","BR-MG","BR-SE","BR","31051","Francisco Sá","francisco-sa","74504"
"BR-MG-31052","BR-MG","BR-SE","BR","31052","Janaúba/Monte Azul","janaubamonte-azul","278394"
"BR-MG-31053","BR-MG","BR-SE","BR","31053","Januária","januaria","116874"
"BR-MG-31055","BR-MG","BR-SE","BR","31055","Pirapora","pirapora","146991"
"BR-MG-31057","BR-MG","BR-SE","BR","31057","Patos de Minas","patos-de-minas","263568"
"BR-MG-31058","BR-MG","BR-SE","BR","31058","Unaí","unai","274324"
"BR-MG-31059","BR-MG","BR-SE","BR","31059","Manhuaçu","manhuacu","345886"
"BR-MG-31060","BR-MG","BR-SE","BR","31060","Ponte Nova","ponte-nova","211450"
"BR-MG-31061","BR-MG","BR-SE","BR","31061","Viçosa","vicosa","138336"
"BR-MG-31062","BR-MG","BR-SE","BR","31062","Águas Formosas","aguas-formosas","59634"
"BR-MG-31064","BR-MG","BR-SE","BR","31064","Araçuaí","aracuai","89638"
"BR-MG-31065","BR-MG","BR-SE","BR","31065","Itaobim","itaobim","80828"
"BR-MG-31066","BR-MG","BR-SE","BR","31066","Nanuque","nanuque","68286"
"BR-MG-31067","BR-MG","BR-SE","BR","31067","Padre Paraíso","padre-paraiso","62910"
"BR-MG-31068","BR-MG","BR-SE","BR","31068","Pedra azul","pedra-azul","65080"
"BR-MG-31070","BR-MG","BR-SE","BR","31070","Araxá","araxa","189071"
"BR-MG-31071","BR-MG","BR-SE","BR","31071","Frutal / Iturama","frutal-iturama","181653"
"BR-MG-31072","BR-MG","BR-SE","BR","31072","Uberaba","uberaba","419482"
"BR-MG-31073","BR-MG","BR-SE","BR","31073","Ituiutaba","ituiutaba","195383"
"BR-MG-31074","BR-MG","BR-SE","BR","31074","Patrocínio / Monte Carmelo","patrocinio-monte-carmelo","195323"
"BR-MG-31075","BR-MG","BR-SE","BR","31075","Uberlândia / Araguari","uberlandia-araguari","915255"
"BR-MG-31076","BR-MG","BR-SE","BR","31076","Manga","manga","56910"
"BR-MG-31077","BR-MG","BR-SE","BR","31077","João Pinheiro","joao-pinheiro","73522"
"BR-MG-31078","BR-MG","BR-SE","BR","31078","Congonhas","congonhas","125453"
"BR-MG-31079","BR-MG","BR-SE","BR","31079","Conselheiro Lafaiete","conselheiro-lafaiete","186232"
"BR-MG-31080","BR-MG","BR-SE","BR","31080","Peçanha/São João Evangelista","pecanhasao-joao-evangelista","57847"
"BR-MG-31081","BR-MG","BR-SE","BR","31081","Santa Maria do Suaçuí","santa-maria-do-suacui","43389"
"BR-MG-31082","BR-MG","BR-SE","BR","31082","São Gotardo","sao-gotardo","94524"
"BR-MG-31083","BR-MG","BR-SE","BR","31083","Bocaiúva","bocaiuva","78199"
"BR-MG-31084","BR-MG","BR-SE","BR","31084","Montes Claros ","montes-claros","443347"
